"","13a ORN left","13a ORN right","13a PN left","13a PN right","1a ORN left","1a ORN right","1a PN left","1a PN right","22c ORN left","22c ORN right","22c PN left","22c PN right","24a ORN left","24a ORN right","24a PN left","24a PN right","30a ORN left","30a ORN right","30a PN left","30a PN right","33a ORN left","33a ORN right","33a PN left","33a PN right","35a ORN left","35a ORN right","35a PN bilateral left","35a PN bilateral right","42a ORN left","42a ORN right","42a PN left","42a PN right","42b ORN left","42b ORN right","42b PN left","42b PN right","45a ORN left","45a ORN right","45a PN left","45a PN right","45b ORN left","45b ORN right","45b PN left","45b PN right","47a & 33b ORN left","47a & 33b ORN right","47a & 33b PN left","47a & 33b PN right","49a ORN left","49a ORN right","49a PN left","49a PN right","59a ORN left","59a ORN right","59a PN left","59a PN right","63a ORN left","63a ORN right","63a PN left","63a PN right","67b ORN left","67b ORN right","67b PN left","67b PN right","74a ORN left","74a ORN right","74a PN left","74a PN right","82a ORN left","82a ORN right","82a PN left","82a PN right","83a ORN left","83a ORN right","83a PN left","83a PN right","85c ORN left","85c ORN right","85c PN left","85c PN right","94a & 94b ORN left","94a & 94b ORN right","94a & 94b PN left","94a & 94b PN right","mPN cobra left","mPN cobra right","picky 0 left","picky 0 right","picky 1 left","picky 1 right","picky 2 left","picky 2 right","picky 3 left","picky 3 right","picky 4 left","picky 4 right"
"13a ORN left",0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,34,0,8,0,0,0,3,0
"13a ORN right",0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,26,0,11,0,0,0,0
"13a PN left",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"13a PN right",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1a ORN left",0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,55,0,3,0
"1a ORN right",0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,55,0,9
"1a PN left",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1a PN right",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"22c ORN left",0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,8,0,14,0,0,0,0,0
"22c ORN right",0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,31,0,18,0,14,0,0,0,4
